,Teen births raw value
2303,11.535048802
761,22.010917415
1491,32.684824903
1228,9.8621161332
221,28.743654369
543,36.964021686
2306,15.781793692
2251,30.613054168
3033,45.884923525
693,14.244357627
1036,43.212775951000005
1566,23.843850505
2774,50.01359065
805,20.553271859
2763,48.589977683
756,30.54592721
2901,26.587716243000003
272,33.492822967
521,57.37704918
522,46.63318643
1681,25.613026511999998
1789,24.677848731999998
2997,34.269144589
350,39.589606334
3071,10.410160316
1833,21.188419332
2431,41.526845638000005
651,12.674317257
3064,11.629470288
2718,50.33557047
2043,42.586750789
1229,13.400343705
2418,15.30967293
2522,22.36525116
168,32.272473479
2628,52.845528455
1497,30.682117461
1977,23.703703704000002
912,28.112449799
829,13.828867761
2553,55.41732270600001
1558,11.375387797
2185,44.449248061999995
1374,15.592515593
2346,43.807919123999994
219,21.909818518
367,21.69855343
2162,52.501761804
2339,37.317224636999995
3125,51.251489869
2245,14.75565077
1455,38.891513148
351,30.358785649
1375,22.306833098000002
1736,30.579490689
2529,48.177292436
490,27.161724396
2819,15.752569398
2486,38.26162287
498,36.123951378
1812,46.20779096
210,21.348314607
2692,27.533689563000003
746,26.602819899
650,10.200651601
227,22.56940384
365,30.730548959
2254,22.486772487
276,36.802030457
2093,48.657586017
1407,43.859649123000004
2966,30.804998546999997
1406,48.158316175
1616,30.579490689
407,42.578591325
2409,30.579490689
1037,40.304396843
2897,16.666666667
2262,12.640256469
2959,15.587529975999999
2533,35.794922628
1425,37.487077296
7,37.049638955
810,14.697569248
2285,26.919032596999998
1468,58.27263267399999
415,14.421702006
3138,11.641443539
838,23.956194387
765,28.248587571
2993,31.164030261
199,32.403493942
3108,24.259198958000002
283,30.406104883
231,22.222222222
2421,110.23622047
2349,50.462080093999994
96,40.532771177
1505,24.285714285999997
2694,43.68752314
1674,26.496116948
990,34.697048162
1950,33.610122578
1506,21.33906053
2999,40.344271114
2712,31.797235023000002
1559,36.795252226
3097,17.63803681
104,34.250172771
2342,51.953202458999996
3016,27.597535934
2571,44.193700047
2297,24.583992169000002
1818,22.648514850999998
1055,48.179181437
2177,36.655948553
2574,52.631578947
744,37.643266476
226,11.67740451
1034,46.543209876999995
2045,20.342150660999998
2413,35.311866484
1694,13.698630137
2273,27.075812274
2365,10.566037736
2766,53.347280335
1822,52.53164557
785,36.678343293
1204,11.286201022
798,16.43295355
1427,59.05707196
1041,37.549407115
1938,24.157478676999997
464,26.079397276
2926,52.756372258
900,25.145067698
1263,16.091978249
1421,35.661218425
2563,40.47976012
2024,15.151515152
1763,36.691190341
2655,36.372501219
212,33.978728686
12,40.77082338
3041,33.133591822
422,13.593628361
999,64.801178203
1052,45.924225029
1057,49.671292915
1454,57.784911717
741,28.574872364
2768,17.125398189000002
2653,30.579490689
3086,64.180398959
1029,33.182372409
2134,29.295328583000003
1777,23.897223969000002
509,22.130013831
644,27.045103039
597,18.513323983
2706,27.390759009
2215,24.115252114
1446,51.079136691
2208,29.143258427
2772,33.677853908
518,50.825082508
2850,23.27901563
887,26.5625
573,28.997514499
3067,31.266017426999998
2857,32.936229853
1226,12.515644556
2859,55.321390938
2844,21.946564885
1272,30.579490689
1584,19.327129563
123,28.525296017
1307,32.401524778
220,20.891819547
3045,42.00286123
358,37.558685446
1392,16.100178891
2769,23.582845663
1983,39.889415482
1791,6.517178075
2978,21.714285714000003
259,34.185197478
2905,13.196288215
2407,20.481208988
976,35.528596187
2509,36.170978186
2078,41.134309754
1105,45.353366722
2802,16.755843424000002
1239,23.36492891
1949,22.419342598000004
1744,22.891566265
2848,9.4538420381
2441,33.850493653
456,33.152909337
462,29.202446771
3028,41.835357625
3007,36.995515695
3094,6.5420560748000005
1412,39.259674706
381,49.876678542
2931,56.20712547
1467,50.4
2591,53.672316384
1538,21.965748325
964,28.260869565
1476,64.016004001
1563,26.800347055
1587,51.712089448
59,27.172582619
2111,14.355261515
2851,14.411817691
1244,29.826229792
2244,19.016340267
2476,46.685178756999996
2403,73.229291717
2422,34.645669291
657,34.436643263
1601,20.0
845,17.544912576
542,61.237373737
2086,41.900545498
1402,50.639386189
2942,45.477289153
1963,20.009220839
952,33.854166667
2847,23.791821561
2570,42.592592593
1651,30.579490689
3135,23.945448779
1557,52.5606469
3031,21.238331762999998
2541,53.036615852
1431,42.030134814
2538,20.638820639000002
1866,8.2279373736
2823,19.362646228
435,44.364508393
2752,39.010466223
237,32.081815635
3106,17.770725902
2222,25.02755327
109,28.8677204
2390,30.579490689
781,25.24082429
2787,19.589494042000002
163,34.544638852
288,38.888888889
1161,53.210066768999994
252,17.316017316
1116,32.722255075999996
2120,28.340836463000002
2892,18.635465499000002
767,27.964002295
787,37.516921292
1441,47.16536669600001
2350,56.689755741999996
1271,24.664697294
1071,35.344095157
1706,27.417027416999996
1551,31.879194631
3066,18.066031345
1117,62.874603361000005
1032,39.650145773
1632,30.579490689
1364,12.899607403
847,29.157667387
2466,35.272172291
2516,46.348659946000005
461,19.049352885
1776,10.652838496000001
1926,29.916234543
157,67.063814424
1001,32.814371257
2354,22.120872819000002
1800,65.094871313
677,52.723692846
1867,4.0586540979
1027,37.348272642
238,29.525032092
978,35.398230088
2894,14.164305949000001
243,33.627797409
100,46.591979897
315,14.982197624
1177,25.766442484000002
2549,36.25974026
1025,45.470692718
1577,43.05644644
261,30.579490689
1264,28.089480924
2243,16.789962285999998
195,37.386659058
1973,32.200357782
1783,2.3949705618
1929,39.923039923000005
179,51.464435146
834,14.293006636
842,25.489303596
3122,37.321241715999996
1578,17.542081607
1123,63.543349488000004
340,24.975024975
1178,20.533166284
2944,31.400545591999997
748,30.863376347
1666,17.356241234000002
662,26.491259686
480,42.807871779
803,22.498060512
2246,25.239817581
2535,59.514608131
2849,13.34330964
2554,60.677170634
549,26.64870125
1261,10.679708554
783,21.973983979
2840,13.750537584000002
2067,27.490252590999997
742,36.979696554
2986,18.172197997
1948,35.245046924
1472,80.188679245
2990,3.312009437
2634,42.945560187
1769,14.398124895
2228,29.231625835
1391,30.579490689
247,21.852731591
871,16.159338595
1788,11.310364058
2183,36.107441656
2852,22.537696503000003
626,14.193984454
347,26.070883065
278,14.844582957
2744,30.579490689
2396,80.96740273399999
655,44.757665678
3136,17.478813559000002
1200,16.567863522
907,45.267489712
2753,50.870147256
2713,27.460096079
1134,54.027978775
911,23.774145617
2064,26.684164479
632,27.953843654
2357,31.638661495999997
445,44.193420531
617,30.752333882
1361,31.912896565
1780,22.416828219
1767,22.39496576
2313,8.981092437000001
1743,6.0694343287
844,40.105834842
2677,35.648160942
547,21.729799335
1972,51.99245461
2696,25.728785554
1503,32.258064516
263,19.542661428
1393,33.344792025
2469,33.579965851
2016,35.90371277
353,28.667099464
802,19.801980198
208,29.577303009
613,10.741521023
2194,57.205240175
1859,21.225287855999998
1671,32.870708545999996
1270,29.156327543000003
1835,31.79508669
1947,22.275258551999997
1675,39.681068051
57,33.208824559
3056,15.50295858
811,32.495344507
2659,37.337337337
2304,30.811232449000002
561,26.023727516
2408,64.864864865
229,14.854038009
2632,45.000723484
1914,40.254343364
1657,30.579490689
538,23.339317774
1381,18.022938285
1196,11.949215833
1820,32.607225003
3017,34.015798806999996
560,30.319209794
707,36.575088488
1042,48.285852245
424,24.06159769
647,26.95107932
1962,37.140769605
1322,20.099079972000002
1188,19.771393265
1426,45.97915115399999
1005,59.860448035
620,36.892758937
1336,11.157601115999999
553,23.427807997
2794,23.06705703
2013,30.579490689
998,53.864168618
2968,13.346043851
1749,13.545072395999998
2878,28.858218319000002
3126,26.625386997
2033,30.579490689
440,64.591078067
508,22.935578652
589,52.774755169
1235,24.674434544
649,9.5890410959
2969,11.04991907
1885,25.13726836
1918,30.528309354
2032,76.803723817
1837,14.699545127999999
630,28.005464481
1952,24.716786818000003
482,46.528274875
2536,43.679198927
2688,45.128939828
1216,40.22984189
2876,12.687427912
2031,30.579490689
1720,18.867924528
856,23.446658851
530,27.231059585
3100,27.556940265999998
49,42.157235093
858,30.997304582
1072,54.382022471999996
719,38.776624795
2471,30.973451327
2738,30.579490689
2362,30.579490689
1447,39.870448961
1628,42.748091603
2236,26.888291370999998
1437,30.745062837
2345,41.044032676
